fecha;hora;sexo;emocion;porcentaje;curso;grado;materia;temperatura
26-08-2025;0:02:06;Hombre;triste;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:06;Hombre;enojado;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:06;Hombre;neutral;100.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:06;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:06;Hombre;miedo;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:06;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:08;Hombre;feliz;5.03;media;3-medio;filosofia;14.3
26-08-2025;0:02:08;Hombre;triste;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:08;Hombre;enojado;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:08;Hombre;neutral;94.96;media;3-medio;filosofia;14.3
26-08-2025;0:02:08;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:08;Hombre;miedo;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:08;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:13;Hombre;feliz;6.05;media;3-medio;filosofia;14.3
26-08-2025;0:02:13;Hombre;triste;7.72;media;3-medio;filosofia;14.3
26-08-2025;0:02:13;Hombre;enojado;1.54;media;3-medio;filosofia;14.3
26-08-2025;0:02:13;Hombre;neutral;84.67;media;3-medio;filosofia;14.3
26-08-2025;0:02:13;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:13;Hombre;miedo;0.02;media;3-medio;filosofia;14.3
26-08-2025;0:02:13;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:14;Hombre;feliz;7.78;media;3-medio;filosofia;14.3
26-08-2025;0:02:14;Hombre;triste;1.21;media;3-medio;filosofia;14.3
26-08-2025;0:02:14;Hombre;enojado;1.53;media;3-medio;filosofia;14.3
26-08-2025;0:02:14;Hombre;neutral;89.48;media;3-medio;filosofia;14.3
26-08-2025;0:02:14;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:14;Hombre;miedo;0.01;media;3-medio;filosofia;14.3
26-08-2025;0:02:14;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:15;Hombre;feliz;0.01;media;3-medio;filosofia;14.3
26-08-2025;0:02:15;Hombre;triste;0.35;media;3-medio;filosofia;14.3
26-08-2025;0:02:15;Hombre;enojado;0.03;media;3-medio;filosofia;14.3
26-08-2025;0:02:15;Hombre;neutral;99.61;media;3-medio;filosofia;14.3
26-08-2025;0:02:15;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:15;Hombre;miedo;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:15;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:17;Hombre;feliz;4.6;media;3-medio;filosofia;14.3
26-08-2025;0:02:17;Hombre;triste;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:17;Hombre;enojado;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:17;Hombre;neutral;95.4;media;3-medio;filosofia;14.3
26-08-2025;0:02:17;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:17;Hombre;miedo;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:17;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:19;Hombre;feliz;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:19;Hombre;triste;0.19;media;3-medio;filosofia;14.3
26-08-2025;0:02:19;Hombre;enojado;0.03;media;3-medio;filosofia;14.3
26-08-2025;0:02:19;Hombre;neutral;99.74;media;3-medio;filosofia;14.3
26-08-2025;0:02:19;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:19;Hombre;miedo;0.04;media;3-medio;filosofia;14.3
26-08-2025;0:02:19;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:20;Hombre;feliz;0.25;media;3-medio;filosofia;14.3
26-08-2025;0:02:20;Hombre;triste;0.04;media;3-medio;filosofia;14.3
26-08-2025;0:02:20;Hombre;enojado;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:20;Hombre;neutral;99.71;media;3-medio;filosofia;14.3
26-08-2025;0:02:20;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:20;Hombre;miedo;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:20;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:21;Hombre;feliz;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:21;Hombre;triste;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:21;Hombre;enojado;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:21;Hombre;neutral;100.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:21;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:21;Hombre;miedo;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:21;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:23;Hombre;feliz;0.01;media;3-medio;filosofia;14.3
26-08-2025;0:02:23;Hombre;triste;0.01;media;3-medio;filosofia;14.3
26-08-2025;0:02:23;Hombre;enojado;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:23;Hombre;neutral;99.98;media;3-medio;filosofia;14.3
26-08-2025;0:02:23;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:23;Hombre;miedo;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:23;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:24;Hombre;feliz;9.96;media;3-medio;filosofia;14.3
26-08-2025;0:02:24;Hombre;triste;2.67;media;3-medio;filosofia;14.3
26-08-2025;0:02:24;Hombre;enojado;0.45;media;3-medio;filosofia;14.3
26-08-2025;0:02:24;Hombre;neutral;86.67;media;3-medio;filosofia;14.3
26-08-2025;0:02:24;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:24;Hombre;miedo;0.25;media;3-medio;filosofia;14.3
26-08-2025;0:02:24;Hombre;asco;0.0;media;3-medio;filosofia;14.3
2025-08-26,00:03:12,Hombre,feliz,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:12,Hombre,triste,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:12,Hombre,enojado,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:12,Hombre,neutral,100.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:12,Hombre,sorpresa,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:12,Hombre,miedo,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:12,Hombre,asco,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:13,Hombre,feliz,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:13,Hombre,triste,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:13,Hombre,enojado,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:13,Hombre,neutral,100.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:13,Hombre,sorpresa,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:13,Hombre,miedo,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:13,Hombre,asco,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:14,Hombre,feliz,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:14,Hombre,triste,0.11,media,3-medio,filosofia,14.3
2025-08-26,00:03:14,Hombre,enojado,10.57,media,3-medio,filosofia,14.3
2025-08-26,00:03:14,Hombre,neutral,80.5,media,3-medio,filosofia,14.3
2025-08-26,00:03:14,Hombre,sorpresa,7.28,media,3-medio,filosofia,14.3
2025-08-26,00:03:14,Hombre,miedo,1.53,media,3-medio,filosofia,14.3
2025-08-26,00:03:14,Hombre,asco,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:15,Hombre,feliz,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:15,Hombre,triste,0.0,media,3-medio,filosofia,14.3
